ID,Name,Screen_Name,User_Location
160772294,TXGCP,TXGCP,Texas
284900723,Eduardo,eddi29x,"Los Angeles, CA"
3341769657,CFF Palm Beach,CFF_PalmBeach,"West Palm Beach, FL"
51261818,Ricky Matthews,wxrjm,"Hampton,VA - Bristol,TN"
57247652,Resistance,ResistanceSean,"Ohio, USA"
3234067704,PLS Titan Activities,PLS_activities,"Papillion, NE"
478610370,Torstein Folmo,TorsteinFolmo,"Drammen, Norge"
2288655184,anon,flutterby2019,United Kingdom
561581469,Big Time Wrestling,BTWrestlingCA,"Newark, CA"
321751225,The Flying Lion,FlyingLionLewis,"San Jose, CA"
268950987,Smart Mark Video,smartmarkvideo,K5 Headquarters
350421839,ABDULMALIK,ABDULMALIK9876,ksa
2840625567,The.Mr.NPR,MrNickyPR,"Derby, Derbyshire"
2854569149,BBC Bias VOTE LABOUR,bbc_bias,Chelmsford Essex
381322263,Caridad Fernandez,felizcaridad,"Miami, FL"
377024249,Glendale CA Parks,MyGlendaleParks,"Glendale, CA"
156640604,MartinC,EmergTechEthics,University of Limerick
3201480429,Djibril Drame,GodeyeGadaay,"Dakar, Los Angeles"
116783537,CommunityPartnership,CPOzarks,"Springfield, Missouri"
2814591985,denzl.,DENZLDENZL,fruity loops
2278661996,nathan mescudi,bslangg,"Dallas, TX"
1130275662,Nurse Ratched,veggie64_leslie,Reality
569126270,DC State Athletics,DCSAASports,"Washington, DC"
16758094,Maumy5,Maumy5,"Melbourne, Victoria, Australia"
1719674052,Nancy Janitz,NJanitz,"Jacksonville, N.C. "
2401358994,Ian Christie,IanPChristie,CES www.surrey.ac.uk/ces
78404156,CisternYard Media,CisternYard,"Charleston, SC"
222968227,Ralph Jessop,RafeJessop,   House built in 1789    
43580000,Matt Jones,Whisky_Chef,"Windsor, Ontario"
322083217,Drew Sexton,drewsexton23,"Phoenix, AZ"
625485299,AFSA,AsianFSA,UK
607050475,shreeprakash agrawal,shree1960,"meerut, india"
225906418,M X V I C E,motocrossvice,Bath UK
37063720,Courtney,KeepIt103,My world
59695716,TMJ-PA Retail Jobs,tmj_pa_retail,Pennsylvania
20615625,MX,mX,"Lehi, Utah"
16463248,Grimey's Nashville,Grimeys,"Nashville, TN"
2182073546,Fysikk UniOslo,Fysikk_UniOslo,Universitetet i Oslo
390559294,Mike Koscielny,1cubzfan,Boca Raton Florida
428517396,Mariam Amini,mariamamini,Near the food 
39570149,Roy Bailey,DrRoyBailey,Crowthorne
17133993,Basin Street Records,BasinStRecords,"New Orleans, LA"
427028916,RIGHT on left coast~,Kerri1111,USA
155078285,#DemocracyRocks,andyrosebrook,"Fairfield Bay, AR"
2575178924,Krystal Tsosie,kstsosie,"Phoenix, AZ"
3082605853,Jacob Mackintosh,JC_Mackintosh,LDN
1395452041,College of Education & Human Service Professions,CEHSP,University of Minnesota Duluth
2505955988,Matthew A. Daniel,MatyDee,"Ohio, U.S."
1147818002,Nico Vanderveen,Nico_Vanderveen,Assen
360205679,Ali Nasir,cozmiccaptures,Maldives
591184704,Shannon Relph,ShannonLeedebs,London
188524497,david Rizi orianwo,The_movement___,"Purple Haze City,port harcourt"
208249574,Lee Mason - Vote Labour 4 my Grandaughter please,sevvyparkLee,Liverpool
861614190,Martin Mavenjina,MartinMavenjina,"Nairobi, Kenya"
343941735,christine young,russty1962,Scotland
796187508,Yusuf Nasir Ahmad,YusufNasir_Ahmd,"Kaduna, Nigeria."
517674949,Romsey Town Council,destinationroms,"Romsey, Hampshire UK"
12025682,John Peavoy,johnpeavoy,"Cork, Ireland"
410021468,Tim Seretta,numalicious,"Omaha, NE"
328031785,Apex Legends Brasil,PlayApexBRA,Rio de Janeiro
1128328392,Chris Schoen,CDJSchoen,"Norman, OK"
212653721,Roger Davies FBPE,4589roger,Wales
1973653812,Naveen Mehta,naveenpmehta,"Toronto, Canada"
298109087,Johnny Verhovek,JTHVerhovek,"Washington, D.C."
16815644,ABC News Politics,ABCPolitics,"Washington, DC"
1341785725,Mansa Musa,Kamsskamara,LDN-UKC
2990259495,Geoff Read,Dr_Geoff_Read,London Ontario
100789993,Blake,MrBlakeGreen,Texas 
557768645,Fort Lauderdale Magazine,FtLauderdaleMag,Fort Lauderdale Florida
478281067,Aidan Harley,aodhanx,"Benicia, CA"
3923211016,dr.birboymo,birboymo,"Nigeria , Unilorin "
221266383,Deborah Baker,onecooldeb,"California, USA"
123588668,Rakesh B Mistry,r_b_mistry,"Houston, TX"
2367425395,Provincial Grand Lodge of South Wales,SouthWalesMason,"South Wales, United Kingdom"
385198010,EL | Cap @ Animation Hell,Andy98725,"Houston, TX"
356923702,Brendan Glasheen,BJ_Glash,"Boston, MA"
2854569149,BBC Bias VOTE LABOUR,bbc_bias,Chelmsford Essex
97701415,Steven J. Barela,StevenJBarela,"Geneva, Switzerland"
108465929,Anna Chu,_achu,"Seattle, WA"
360125442,Robert Payne,robpayne_wales,"Cardiff, Wales UK"
3365041564,Ikedinachi and 3 ors,mattyIyk,9ja
1551782323,Janet Young,roxymoma52,"Ontario, Canada"
2531068032,Tiana,Broconut16,"Mansfield, TX"
92231875,marsmarsmars.com,mars3times,Off The Porch
24917519,Sabrina Lowery,sabrinalowery,"Atlanta, GA"
23359100,NowPlayingNashville,NowPlayingNash,"Nashville, TN"
2320987273,NOLA History Guy,NOLAHistoryGuy,"New Orleans, LA"
799557528,Bart Ewing,gbewing,Kansas City
618457993,University of Illinois Facilities & Services,UofIFS,"Champaign, Illinois"
278179438,VISIT ADDISON,VisitAddison,"Addison, Texas"
754059872,ModestMarill // Kyle,ModestMarill,"Marina del Rey, CA"
316558908,Chuck Davidson,Davidson_Chuck,Winnipeg. MB
332094612,Shalonta Brown,BossBitc33,"Denver,Co"
345888859,Conscious Events Spread Seva,spread_seva,"Los Angeles, CA"
1376893663,The Liverpool Jam Co,LiverpoolJamCo,Liverpool
4204958326,Graham Gonthier,GonthierGraham,Cardiff South Wales
24033964,Jackron,Jackron312,"Boston, MA"
179501093,Tom Butler,tjwbutler,London
15023803,Safaraz Ali (Saf),SafarazAli,"Birmingham, UK"
70609171,Conrad M Carrette,cmcmanangement,Saint Thomas Virgin islands
948617094,Kasim Choudhry,choudhry_kasim,Birmingham
18769179,courtneymegs,courtneymegs,"Boston, MA"
2473924772,Most Special One,topsyspecial1,Nigeria
376521191,Martin McScratchy,MartinMcScratch,"Kitchener, Ontario"
1435549314,ENoMW,ENoMW,"Brussels, Belgium / EU"
149264117,Amer Awan,AmerAwanUK,Birmingham UK
40601552,Pat Connors,nymets22,Sacramento CA
341075745,Chelsey Spurgeon,Ginjaninja001,#thegingerfamily
25601183,Lenny A.Walker,boytoy1814,New York City
2975375728,Amy Salman,thewellnessmap1,New York City
35944798,David Branscom,dbranscom,"Helotes, TX"
1029966896,Andrew J. Campa,campadrenews,"Pasadena, CA"
58600280,LilMexicoRich6,lilmexicoisland,"Zone6 (Sunrise) , FL #BROWARD "
298015898,Sachi Knight,SachiKnight,"Shropshire, UK"
172870366,Morningstar,MZSnookes,Valhalla
19529244,dj sourmilk,djsourmilk,Leo
50017176,Turlough,Turloughc,"Dublin City, Ireland"
304406203,Catherine Bleahen,cbleahen,Galway
1507954430,Lance Vance,LanceKing2200,"Massachusetts, USA"
38725369,Alicia Anabel Santos,_lasantera,"BRONX, NYC"
156992199,Jan @ pokemon crYING,omgsoasian,winnipeg or probably discord
27363392,Retro Boomin',JeremyAvalon,"Atlanta, GA"
2170022073,gaberiel,GigiMorrison__,Jamaica
525917832,Earl Thiessen,EarlThiessen,Canada
2349774241,Pauline Wardle,pmw_77,Sherwood Forest
328801479,Marc Lobliner,MarcLobliner,Chicago
3302500613,Aberhonddu Lodge,Lodge8588,"Brecon, Powys LD3 7NT"
150567097,Margot Muraszkiewicz,Margot_Murasz,City of Angels
789158,aaron brazell,technosailor,"Canton, Baltimore, MD"
19735074,Mike ( massive social upheaval ) in Houston,houston_mike,"iPhone: 29.739464,-95.406410"
39313993,Maria (Galanis) Arfanakis,mariagalanis,"Chicago, IL"
1918321262,Andrew Aiello,Coach_Aiello,"Eureka, CA"
1467833874,Dr Elizabeth McKay,OTDrBeth131,Glasgow and Edinburgh 
30178643,Tony Soul,SoulBrothaTonyS,"Brooklyn, New York"
1027493701,zei i guess,Zei_SSB,"Denton, TX"
151303834,These bitches act local and think global,djsgame,913/630/309
3214612211,Marc Shaw,Shaw77Marc,United Kingdom
208463460,Dr Briony Supple,dr_briony,"Cork, Ireland"
10642472,Lauri Lebo,llebo,"Harrisburg, PA"
592914263,Alicia Mpande,mmmpande,HTX
148927584,Dec 8th #TheBlaqRave,BlaqBonez,"Lagos, Nigeria"
14868444,HEB ISD,hebisd,"Bedford, TX"
459542686,Brian Marcus McAuslan,BrianMcAuslan,North London
80075938,Mengistab Wolf,UN_413,"Evanston, IL"
46932230,Squallz,Squallz_504,"Atlanta, GA"
4441974213,trash,bIuebIood,no
16271356,Stephen Pate,sdpate,"Charlottetown, Prince Edward Island"
208017170,Bold Rock,BoldRock,"Nellysford, VA"
4824094685,Kaddy (MUZI STAN ACCOUNT),KaddylacRadio,"Johannesburg, South Africa "
47188666,Christina Haggard,Swooshs,North Carolina
249207023,Johan,Udlah,Newtownabbey
53067059,Tom Schmidt,TomSchmidt30,"St Paul, MN"
443497189,the butternut squash,kinny55kuppetz,"Las Vegas, NV"
294444192,Danielle CC1,DanielleCC1,Double Entendre
748484935,FoodRecoveryNetwork,FoodRecovery,USA
19486154,Colm Flaherty,CJayFla,Somewhere on OS map 47 or 50
941233675,Kaitie Scarbrough,KaitieScarbro11,"Dickson, TN"
2396154234,Ashland Fire,AshlandMAFire,"Ashland, Massachusetts"
182840025,Larry Lynam,scopedbylarry,"Florida and Arizona, U.S.A."
2238636834,Kat,Bobkat503,"Portland, OR"
303611369,Amish Comic,amishcomic,Pennsylvania
278930748,Roland Turner,RTProductions1,"Leyland, Lancashire."
39122322,Su,SutonaShari,"Washington, DC"
29359545,Rudy Sotelo,rudysotelo,"Monahans, Texas"
2857006670,Red Horn Brew,RedHornBrew,"Cedar Park, TX"
