Date,Tweet_Text,Source,User_ID,Lat,Lng
Fri Dec 06 08:35:38 +0000 201,"RT @TheWomensOrg: That\u2019s how it\u2019s don, thank you @JonAshworth \ud83d\udc4f\ud83c\udffb\n\nUntil event organisers, venues, sponsors and hosts take MORE responsibil\u2026""","\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",433613144.0,-2.915427,53.419879
Fri Dec 06 08:35:40 +0000 201,"RT @SisiBisi_: Hi Guy, \nMy name is Bisi. I plan Classy events for a living. \n\n@elposh_events on here &amp; Instagram \n\nPlease retweet for my c\u2026""","\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",912196440.0,3.338606,6.493113
Fri Dec 06 08:35:44 +0000 201,america is hell,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",7.78e+17,-112.012265,33.058496000000005
Fri Dec 06 08:35:45 +0000 201,Critican a Corriere dello Sport por su portada 'Black Friday'  https://t.co/2T5IhoxZCy Desde luego es de p\u00e9simo gusto,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",90862588.0,-5.616384,40.094614
Fri Dec 06 08:35:45 +0000 201,"RT @IamRajii: A dedication to the wonderful employees of #Sterlitecopper! To our gri, dedication and solidarity during this tough time! \nI\u2026""","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",1517023411.0,77.58256899999999,12.992157
Fri Dec 06 08:35:49 +0000 201,Come join us on December 11 @UMRFResearch Park!! #Tableau #DataScience,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",1.02e+18,-89.92202900000001,35.133521
Fri Dec 06 08:35:50 +0000 201,"RT @getnorthern: Tory voter, and those as yet undecided; ask yourself this: Why is Johnson avoiding interviews? Why is Rees-Mogg sneaking\u2026""","\u003ca href=""http://twitter.com/#!/download/ipad"" rel=""nofollow""\u003eTwitter for iPad\u003c/a\u003e",842074118.0,-2.195693,53.187959
Fri Dec 06 08:35:50 +0000 201,Both the Penrith Lakes and Nepean River Parkrun events are cancelled tomorrow due to the weather and air quality. W\u2026 https://t.co/TdQMVqqcF6,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",86202472.0,150.931975,-33.848244
Fri Dec 06 08:35:51 +0000 201,"Common theme across the U,  Tory candidates, including Boris Johnson are not appearing at their hustings events. A\u2026 https:\/\/t.co\/4Xkk132MOt""","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",1213961839.0,-1.89064,52.493966
Fri Dec 06 08:35:55 +0000 201,RT @louisejgrant: So many people for @Profgailk and I to thank for coming to this event and for helping us develop this tool shout outs to\u2026,"\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",21746415.0,-0.4323369999999999,51.894443
Fri Dec 06 08:36:03 +0000 201,Di gid ko makalakat sa event bwas ba,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",3393544813.0,124.884224,6.460934
Fri Dec 06 08:36:03 +0000 201,"This is why I advocate. This is why I say NO to backyard breeder, dog fighting and irresponsible dog owners, and s\u2026 https:\/\/t.co\/XX5nTQsDiz"",display_text_range:[0,140]","\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",180519649.0,-119.306608,37.269176
Fri Dec 06 08:36:07 +0000 201,So excited for tonight's launch of the new @TheDiamondWorks Show Room \ud83c\udf7e\ud83e\udd42\ud83d\udc8e\n\n#DiamondWorksTour,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",1411054454.0,18.496117,-33.823411
Fri Dec 06 08:36:12 +0000 201,"Any spoken word or open mic events happening in L,\n Friday Night? I'll be at work but got some friends visiting fr\u2026 https:\/\/t.co\/YDMF9bXDoO""","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",7.63e+17,-118.411907,34.020789
